time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,InFlowRate,InFlowTemp,SSSFlowRate,SSSFlowOxygen
2013-05-15,291.4198750658333,341.0749995,19.534586842916667,67.52167599208333,4.892189680625,0,0.016015902,15.66451613,0.0151333333333333,597.51
2013-05-16,315.0668731445833,345.6708348625,22.080421701666666,66.62866355833333,5.286232073875,0,0.014969754,15.3409375,0.0151333333333333,597.51
2013-05-17,265.86683590666667,370.54708608333334,21.902088419166667,67.98484210041667,2.4727591329166665,0.124065598,0.014128799,15.28833333,0.0151333333333333,597.51
2013-05-18,237.72033333958333,388.75124995416667,22.177509562083333,75.10369258041666,3.140947428125,0.253996803,0.017009445,14.9034375,0.0151333333333333,597.51
2013-05-19,224.53587606666667,385.8070818625,20.714170074583333,85.75149809458333,2.9933365804166665,0.253406403,0.024125821,14.63520833,0.0151333333333333,597.51
2013-05-20,262.91554522166666,374.90708415,21.44875996875,85.11661341291666,2.909381294291667,0.16346159899999999,0.038485754,14.39885417,0.0151333333333333,597.51
2013-05-21,307.61008310041666,376.25291442916665,23.6279261275,81.25340166,2.881096375208333,0,0.026369464,15.25625,0.0151333333333333,597.51
2013-05-22,289.74899920291665,381.306667325,23.9170903525,79.43773998125,4.49715779,0.563385597,0.020411988,16.02635417,0.0151333333333333,597.51
2013-05-23,241.75954087458334,382.0091692625,22.050004576666666,77.57988613875,4.3551302764583335,0.085591202,0.019665695,15.6815625,0.0151333333333333,597.51
2013-05-24,317.43158071041665,295.16250039166664,13.782084400666667,68.52188121083333,7.400587410375,2.112e-4,0.018572412,13.75947917,0.0151333333333333,597.51
2013-05-25,341.6441246658333,262.161666875,11.79875208525,57.04345625791667,4.9345148860000005,0,0.016168566,11.81354167,0.0151333333333333,597.51
2013-05-26,338.96408668208335,278.37500508333335,14.125836945125,49.35521598333333,2.9912548981666665,0,0.014886534,12.67125,0.0151333333333333,597.51
2013-05-27,203.43383153208333,324.25625610000003,16.272917682916667,56.98183697291667,2.5758554907083333,0,0.014087654,12.96916667,0.0151333333333333,597.51
2013-05-28,295.48320691,363.525833125,21.595422362916665,74.41744997291667,3.9897371626666667,0,0.014075575,14.81895833,0.0151333333333333,597.51
2013-05-29,325.62345933833336,362.4429181333333,23.822924550833335,72.20773347625,4.086188128083333,0,0.013962662,16.21322917,0.0151333333333333,597.51
2013-05-30,319.7174587245833,354.69249852916664,24.09250539125,66.03534845083333,3.5272067182916667,0,0.013161986,16.79989583,0.0151333333333333,597.51
2013-05-31,324.4162929845833,360.8666712375,24.228756205,67.29688442541666,3.90128261675,0,0.01426218,17.08458333,0.0151333333333333,597.51
2013-06-01,293.0331646591667,383.7170817041667,24.91000518875,70.94011137708333,4.233656809458333,0.0061056,0.013631637,17.27729167,0.0151333333333333,597.51
2013-06-02,226.61841695249998,386.70583597916664,23.638346609583333,79.15140733666667,4.822443308125,0.36355679100000005,0.017497306,16.981875,0.0151333333333333,597.51
2013-06-03,255.93341891333333,380.2537485875,22.980007425416666,74.21392446083334,2.673643451875,0.01668,0.0154656,16.80583333,0.0151333333333333,597.51
2013-06-04,323.2667072575,346.52125167916665,21.0979197175,69.41878384791667,3.46009737575,0,0.013281937,16.43541667,0.0151333333333333,597.51
2013-06-05,215.36804365875,392.82374955,20.142087555,77.17117979916667,4.4351989529999996,0.0046392,0.01226969,16.06635417,0.0151333333333333,597.51
2013-06-06,161.039169315,386.2629152791667,19.292921955833332,96.808711885,3.7289267734583333,0.984688799,0.057704564,15.22885417,0.0151333333333333,597.51
2013-06-07,85.38179159083333,391.8445803375,18.787089283333334,97.68435837666667,2.559111318083333,0.170940002,0.045895805,15.00135417,0.0151333333333333,597.51
2013-06-08,266.28299744125,375.56208292916665,21.108337657083332,79.89001614749999,2.098368473458333,0.112082401,0.03320504,15.40239583,0.0151333333333333,597.51
2013-06-09,193.59987529125,406.71083197083334,23.462509410416665,81.95533156333333,3.3045089143333333,0.113100002,0.02450257,16.30197917,0.0151333333333333,597.51
2013-06-10,204.96150080541668,395.8950017375,22.402506765000002,87.76825845958334,4.392155463583333,0.145989599,0.027570241,16.66102941,0.0151333333333333,597.51
