time,depth,temp
2013-05-16,0.1,0.017294175278160996
2013-05-17,0.1,7.047129040801697
2013-05-18,0.1,11.864498495245133
2013-05-19,0.1,11.904343937756325
2013-05-20,0.1,13.835878739543771
2013-05-21,0.1,15.766096568061846
2013-05-22,0.1,19.278971252690738
2013-05-23,0.1,19.87846330584677
2013-05-24,0.1,20.263802535639538
2013-05-25,0.1,17.242285318118938
2013-05-26,0.1,16.532605286739553
2013-05-27,0.1,16.831925855216735
2013-05-28,0.1,16.556711585623074
2013-05-29,0.1,18.24285656553954
2013-05-30,0.1,19.922731239849973
2013-05-31,0.1,21.189106641763917
2013-06-01,0.1,22.262259863646005
2013-06-02,0.1,23.01890111007309
2013-06-03,0.1,22.787597599414227
2013-06-04,0.1,22.86926391247477
2013-06-05,0.1,22.171105345567543
2013-06-06,0.1,21.305586473515064
2013-06-07,0.1,20.8083277230622
2013-06-08,0.1,19.84634404960609
2013-06-09,0.1,20.901491442478598
2013-06-10,0.1,21.556584196142033
2013-06-11,0.1,21.095074585291567
2013-06-12,0.1,22.028108945579078
2013-06-13,0.1,23.08824443678348
2013-06-14,0.1,22.843044906779806
2013-06-15,0.1,21.69227719810299
2013-06-16,0.1,22.725522730631003
2013-06-17,0.1,22.765588016954386
2013-06-18,0.1,23.228738584229585
2013-06-19,0.1,22.742305875162163
2013-06-20,0.1,23.11636215128655
2013-06-21,0.1,23.680656164871262
2013-06-22,0.1,24.004292800864977
2013-06-23,0.1,24.317351473923676
2013-06-24,0.1,24.77618191363931
2013-06-25,0.1,24.87918028421936
2013-06-26,0.1,25.220016974444018
2013-06-27,0.1,25.312274969950106
2013-06-28,0.1,24.86998218568662
2013-06-29,0.1,24.77867423459119
2013-06-30,0.1,24.61920355977933
2013-07-01,0.1,24.24529585158581
2013-07-02,0.1,24.123417105798183
2013-07-03,0.1,23.441180945987004
2013-07-04,0.1,23.259911430242358
2013-07-05,0.1,23.53628783045273
2013-07-06,0.1,24.456567336223927
2013-07-07,0.1,25.430341871635687
2013-07-08,0.1,25.235201295125076
2013-07-09,0.1,25.39554494510082
2013-07-10,0.1,25.539858230089624
2013-07-11,0.1,25.12254577583263
2013-07-12,0.1,25.82067052848348
2013-07-13,0.1,25.16418673944891
2013-07-14,0.1,24.55076146850434
2013-07-15,0.1,24.8860482143824
2013-07-16,0.1,26.216457809418785
2013-07-17,0.1,26.945860858685858
2013-07-18,0.1,27.708454190029233
2013-07-19,0.1,27.913562487569404
2013-07-20,0.1,28.13643151720654
2013-07-21,0.1,27.582344829793808
2013-07-22,0.1,27.548847809787013
2013-07-23,0.1,25.774143726122883
2013-07-24,0.1,25.799370080352524
2013-07-25,0.1,25.89468641570259
2013-07-26,0.1,25.8346033513114
2013-07-27,0.1,26.413878868843156
2013-07-28,0.1,24.71426864424158
2013-07-29,0.1,24.615237361659695
2013-07-30,0.1,24.54186055808275
2013-07-31,0.1,24.431683234577516
2013-08-01,0.1,23.8851228982653
2013-08-02,0.1,24.201486209779542
2013-08-03,0.1,25.186653463208106
2013-08-04,0.1,24.191417066420854
2013-08-05,0.1,24.231227740535893
2013-08-06,0.1,24.425520223178523
2013-08-07,0.1,24.329865403126547
2013-08-08,0.1,24.430053232209122
2013-08-09,0.1,24.068882325130797
2013-08-10,0.1,24.14998122391387
2013-08-11,0.1,23.901930753180245
2013-08-12,0.1,23.58311884925381
2013-08-13,0.1,24.995105151713584
2013-08-14,0.1,23.586737222702713
2013-08-15,0.1,23.441768094619153
2013-08-16,0.1,22.95144701456187
2013-08-17,0.1,23.19389472802397
2013-08-18,0.1,22.51864366541356
2013-08-19,0.1,21.87378722985387
2013-08-20,0.1,22.338914904645215
2013-08-21,0.1,23.426308363381573
2013-08-22,0.1,23.326177095202148
2013-08-23,0.1,24.245255808914692
2013-08-24,0.1,23.631958609081916
2013-08-25,0.1,23.69046106531558
2013-08-26,0.1,23.897552106746613
2013-08-27,0.1,24.315210675795456
2013-08-28,0.1,24.417496859284366
2013-08-29,0.1,23.917808249095394
2013-08-30,0.1,24.504582734680366
2013-08-31,0.1,25.168019318663
2013-09-01,0.1,25.39320592866399
2013-09-02,0.1,25.065383515184717
2013-09-03,0.1,25.41843804327354
2013-09-04,0.1,25.166518179495498
2013-09-05,0.1,25.127633178358835
2013-09-06,0.1,24.515893332827968
2013-09-07,0.1,23.828083805521825
2013-09-08,0.1,23.73022864826668
2013-09-09,0.1,24.10768559444315
2013-09-10,0.1,23.97012197370924
2013-09-11,0.1,23.95074505756699
2013-09-12,0.1,24.684745579058987
2013-09-13,0.1,23.79698110818091
2013-09-14,0.1,22.681142890272326
2013-09-15,0.1,21.806699102453823
2013-09-16,0.1,21.89753386160188
2013-09-17,0.1,21.532577218416755
2013-09-18,0.1,20.83363190218905
2013-09-19,0.1,20.530321079663445
2013-09-20,0.1,20.5416323088519
2013-09-21,0.1,20.5831016295058
2013-09-22,0.1,20.519891196105476
2013-09-23,0.1,20.44547909411444
2013-09-24,0.1,20.477315286043975
2013-09-25,0.1,20.905866940937447
2013-09-26,0.1,20.89525664641116
2013-09-27,0.1,20.86518161149271
2013-09-28,0.1,20.781683636144532
2013-09-29,0.1,20.488031506142413
2013-09-30,0.1,20.51692364525524
2013-10-01,0.1,20.43824455545657
2013-10-02,0.1,20.449241493545262
2013-10-03,0.1,20.895177277263773
2013-10-04,0.1,21.0562634099978
2013-10-05,0.1,21.2209552882732
2013-10-06,0.1,21.644410481623847
2013-10-07,0.1,21.756730731210897
2013-10-08,0.1,20.957096542164262
